id,title,summary,installs,score,ratings,reviews,size,androidVersion,androidVersionText,genre,genreId,icon,contentRating,contentRatingDescription,released,updated,version
com.gameloft.android.ANMP.GloftA8HM,Asphalt 8 - Car Racing Game,Racing multiplayer online game. Drive cars and motorcycles.,100-000-000+,4.4744434,10191799,280041,177M,5.0,5.0 and up,Racing,GAME_RACING,https://play-lh.googleusercontent.com/y1J3-OrqJIlezTtaung2sPOnHY9wS2hdJh26ADkwcc3kdZy4DTGyv94IN_YRvdKy0y4,Everyone 10+,Mild Violence,Aug 20- 2013,1650272949,6.2.3b
com.gameloft.android.ANMP.GloftAGHM,Asphalt Nitro,Car racing game with luxury licensed brands,100-000-000+,4.2858825,1743070,16204,46M,4.1,4.1 and up,Racing,GAME_RACING,https://play-lh.googleusercontent.com/xMRV92isAcFWE8c2sZk90mZNxBICaVU1BSjsbf65g1z9tElBNOUeJpNrwH4Kcqu8TQ,Everyone,,Nov 5- 2015,1647830116,1.7.5a
com.gameloft.android.ANMP.GloftA9HM,Asphalt 9: Legends,Online multiplayer street auto racing game with high luxury car brands.,50-000-000+,4.4719715,2443874,61954,Varies with device,7.0,7.0 and up,Racing,GAME_RACING,https://play-lh.googleusercontent.com/-nPzGmS93EtADPAZkw9fV5659fKf4LZUOjCsQEQOPdFRdSJb0jQ2m9_dcFc9MZKkW4k,Everyone 10+,Mild Violence,Jul 25- 2018,1651162364,3.4.5a
com.gameloft.android.ANMP.GloftR7HM,Real Football,Experience soccer both on and off the pitch with Real Football,50-000-000+,3.7666981,970452,4662,31M,4.4,4.4 and up,Sports,GAME_SPORTS,https://play-lh.googleusercontent.com/LDbqHFLVA2DTGjIiiErQyC0t07hIbI9YoFwkd2SOpUJr-sycEkuc0a6N6yY3hYidnA,Everyone 10+,Fantasy Violence,Sep 29- 2016,1629789759,1.7.2
com.gameloft.android.ANMP.GloftFWHM,Sniper Fury: Shooting Game,A 3D sniping game to hunt elite hitmen and shooter assassins. Ready to snipe?,50-000-000+,4.3248034,1025668,20414,71M,5.0,5.0 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/ndl-d8j2v1gEbZL0JgwMPiakGHqgw0Qe092oyfAr1q6nsIGvzPGG_oKC7n9JyyWSsA,Mature 17+,Violence- Blood,Dec 2- 2015,1643797273,6.2.2a
com.gameloft.android.ANMP.GloftNOHM,N.O.V.A. Legacy,N.O.V.A. Legacy game; multiplayer FPS experience,50-000-000+,3.9989161,1592747,32576,45M,4.0.3,4.0.3 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/4OvZs26gv_7nfbfiz_3TcldhA8Iv9_LJmdEfwF43On3xJ4QzcahDzyqKSJ0lxphVdf4,Everyone 10+,Fantasy Violence,Mar 27- 2017,1602767306,5.8.3c
com.gameloft.android.ANMP.GloftGGHM,Gangstar Vegas: World of Crime,RPG crime and mafia online game set in Las Vegas,100-000-000+,4.3345423,6556484,174148,51M,5.0,5.0 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/9F8Yup4O0--LddTf4mk56ybuaK-M89J18nDd-e5PLpX7r58GA3Klm5SNZPxvbKjuPhg,Mature 17+,Violence- Blood- Suggestive Themes- Drug Reference- Language- Simulated Gambling,Jun 19- 2013,1648637417,5.6.0k
com.gameloft.android.ANMP.GloftOLHM,Gangstar New Orleans,Action game mafia style in an open-world. Join gangs and combat along,10-000-000+,4.3723617,781373,22164,66M,4.1,4.1 and up,Role Playing,GAME_ROLE_PLAYING,https://play-lh.googleusercontent.com/JIoZ5Fufpg2oBJygHfBEQ-rinbasfHmbBxRF8HfG_g9Q6Yj9Y8hfX0bEDy6nkvhhDMs,Mature 17+,Intense Violence- Blood- Suggestive Themes- Drug Reference- Language,Mar 29- 2017,1626263780,2.1.1a
com.gameloft.android.ANMP.GloftMTHM,World at Arms,World at Arms is the groundbreaking modern-war strategy game by Gameloft!,10-000-000+,4.205989,763324,38186,34M,4.0.3,4.0.3 and up,Strategy,GAME_STRATEGY,https://play-lh.googleusercontent.com/n_bUxkqfJS4tT5ze8IZW7DTz-oKH0om3Gc7JiEiNziKn4Kb0lAZC0cAUwEUBGkelDw,Teen,Violence- Blood,Nov 28- 2012,1527240842,4.2.4d
com.gameloft.android.ANMP.GloftRAHM,GT Racing 2: real car game,Automotive with A-list cars for a racing experience journey,10-000-000+,4.408498,1794214,67753,31M,4.1,4.1 and up,Racing,GAME_RACING,https://play-lh.googleusercontent.com/IUIm7srK62Fczedh4Ag021wtLuzunUPLEItiqdv-pX07X-e-twtYi8878CA4VsRoYZKM,Everyone,,Nov 14- 2013,1635496712,1.6.1c
com.gameloft.android.ANMP.GloftM5HM,Modern Combat 5: mobile FPS,Team first time shooter challenges. Shooting classes and modern combat style,100-000-000+,4.4961934,3716885,104630,53M,5.0,5.0 and up,Action,GAME_ACTION,https://play-lh.googleusercontent.com/N5OhX0Em8Uuu5B4JaXKZmwzy-0UUfGiF3OjDxdGic1m49DJyNujFgPFZSa0AJf4hiIKP,Mature 17+,Intense Violence- Blood- Strong Language,Jul 23- 2014,1633590413,5.8.7a
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,Official Minions and Despicable Me endless runner game,500-000-000+,4.5919003,10724213,608639,127M,5.0,5.0 and up,Casual,GAME_CASUAL,https://play-lh.googleusercontent.com/VWDPdbt6O5Aq_2-_8CzsLIT3a-PFn7Kjt6j4vs92a1zEiJdnAluD-QPNhdE_Z0Bnjg,Everyone 10+,Mild Fantasy Violence- Crude Humor,Jun 13- 2013,1643883065,8.3.1a
com.gameloft.android.ANMP.GloftPOHM,My Little Pony: Magic Princess,Official game to adventure with Twilight Sparkle- Rainbow Dash & more ponies,50-000-000+,4.2731447,1451476,71686,53M,4.4,4.4 and up,Casual,GAME_CASUAL,https://play-lh.googleusercontent.com/J3V88uOUlzT4rkdgDxXa3mz6lw8_kZS-OnNJuc4FZMdBw76F45nYAJmDkI3Fir1LAg,Everyone,Violent References,Nov 8- 2012,1649875089,7.5.1a
